region	n	trait	results	abbreviation	category	color
region_chr1_200168521_201620847	10	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr1_216070292_218532171	34	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_222056878_224750818	13	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr1_226623159_229020501	5	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr1_230549509_231954506	2	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr1_235656136_237392328	3	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr1_23594100_25190354	1	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr1_23594100_25190354	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_25190354_27075376	50	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_25190354_27075376	71	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_29689034_31973084	19	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_34334157_37083582	5	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr1_3666172_4320751	36	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr1_39734895_41509656	24	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_43292786_44503511	17	SSGAC_Education_Years_Pooled	spredixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr1_43292786_44503511	10	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr1_44503511_46433829	36	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr1_53760589_55947444	12	MAGNETIC_IDL.TG	spredixcan_eqtl	IDL	Cardiometabolic	#004000
region_chr1_55947444_56556055	4	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr1_7187275_9305140	13	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr1_76262450_79195513	20	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_91420760_93070902	7	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr1_91420760_93070902	33	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr1_9305140_10746927	2	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_9305140_10746927	30	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_95685337_97419693	1	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr20_18991559_20979069	3	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr20_25363595_33027017	7	UKB_20022_Birth_weight	spredixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr20_33027017_34225635	51	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr20_38281128_39808119	4	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr20_48583442_50623121	96	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr20_63558827_64333810	16	IBD.EUR.Ulcerative_Colitis	spredixcan_eqtl	UC	Immune	#40A0A0
region_chr20_63558827_64333810	42	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr20_63558827_64333810	33	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr20_9750273_11268888	1	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr21_37339402_39110976	1	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr21_41901419_43086158	3	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr22_19924835_22002927	62	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr22_38911889_40149793	20	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_10133_1777250	14	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_102072305_102971757	5	EAGLE_Eczema	spredixcan_eqtl	ECZ	Allergy	#FFFF00
region_chr2_109814855_113164279	15	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr2_109814855_113164279	1	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_eqtl	SLE	Immune	#40A0A0
region_chr2_134401007_136285224	8	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr2_160913222_162647041	13	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr2_164322330_166303760	8	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr2_166499460_169111726	14	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr2_166499460_169111726	14	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr2_176498908_177688455	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_181401304_183492880	16	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr2_181401304_183492880	8	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr2_19492643_20850730	8	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_198446401_200711561	22	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr2_20850730_23118512	11	MAGNETIC_IDL.TG	spredixcan_eqtl	IDL	Cardiometabolic	#004000
region_chr2_216850938_217530757	2	BCAC_ER_negative_BreastCancer_EUR	spredixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr2_224975287_227255126	2	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr2_230978674_232685293	81	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_232685293_234242343	15	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr2_236540389_237852338	6	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr2_241210506_242147200	98	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr2_26672117_28375910	2	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr2_30240845_31327584	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr2_35896940_37905569	7	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_35896940_37905569	4	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr2_43082452_44086664	3	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr2_43082452_44086664	3	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr2_46255495_47091633	9	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr2_60064865_62201909	5	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr2_98378738_101205867	32	SSGAC_Education_Years_Pooled	spredixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr3_10977979_13029299	3	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr3_10977979_13029299	9	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr3_10977979_13029299	19	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_120804208_122255250	22	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr3_122255250_123798921	10	EGG_BW3_EUR	spredixcan_eqtl	BW	Anthropometric	#404040
region_chr3_128476018_130525891	33	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr3_140235755_141620255	10	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr3_140235755_141620255	19	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_141620255_143445786	8	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr3_147008842_149325450	5	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	spredixcan_eqtl	BLDP2_UKB	Hair morphology	#808000
region_chr3_14775393_16240935	1	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr3_168863172_171247120	1	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr3_171247120_172577941	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_179656798_181793378	1	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr3_42498510_45123661	5	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_45123661_46616010	23	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr3_46616010_47685722	12	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr3_47685722_49279539	223	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_49279539_51797999	63	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr3_49279539_51797999	162	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr3_49279539_51797999	16	UKB_20127_Neuroticism_score	spredixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr3_56399879_58171792	1	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr3_87360582_88249223	4	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr4_104384137_106580148	1	UKB_20022_Birth_weight	spredixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr4_12321410_14270377	4	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_37253425_38905401	28	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr4_80069143_81204161	10	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr4_80069143_81204161	3	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_88316876_89310413	11	UKB_20002_1466_self_reported_gout	spredixcan_eqtl	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr5_11940_982137	10	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_124462407_126449957	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_130183332_132803957	83	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr5_132803957_135441711	10	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr5_155946495_157201689	1	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr5_157201689_159398690	4	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr5_157201689_159398690	4	UKB_20002_1453_self_reported_psoriasis	spredixcan_eqtl	PSO_UKBS	Immune	#40A0A0
region_chr5_173251324_174215868	2	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr5_173251324_174215868	2	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr5_176023592_177824506	29	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr5_68555033_71944629	58	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr5_74463501_76503041	81	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr5_88094174_89595713	14	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr6_103535520_105608858	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr6_11790583_13209156	3	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	spredixcan_eqtl	MI_UKB	Cardiometabolic	#004000
region_chr6_130614309_132444530	3	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr6_132444530_133923105	10	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr6_133923105_135903039	28	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr6_133923105_135903039	86	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr6_14802693_17386174	1	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr6_157797687_160159465	3	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr6_157797687_160159465	3	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr6_157797687_160159465	4	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr6_160159465_161748532	4	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr6_21683834_22748078	3	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr6_24852047_25684359	2	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr6_25684359_26791023	54	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr6_25684359_26791023	125	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr6_25684359_26791023	57	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr6_25684359_26791023	9	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr6_25684359_26791023	25	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr6_26791023_28050041	31	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr6_28050041_28949831	24	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr6_28949831_29770194	62	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	spredixcan_eqtl	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr6_29770194_30830391	265	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr6_29770194_30830391	47	UKB_20002_1261_self_reported_multiple_sclerosis	spredixcan_eqtl	MS_UKBS	Psychiatric-neurologic	#0000A0
region_chr6_30830391_31603441	250	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr6_30830391_31603441	319	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr6_30830391_31603441	351	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_eqtl	SLE	Immune	#40A0A0
region_chr6_30830391_31603441	364	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_31603441_32714887	232	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr6_32714887_33268720	15	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr6_32714887_33268720	292	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr6_32714887_33268720	188	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	spredixcan_eqtl	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr6_32714887_33268720	253	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_33268720_35487979	173	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr6_35487979_37604820	3	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr6_35487979_37604820	4	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_40377376_42070983	15	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr6_40377376_42070983	90	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr6_42070983_43788432	6	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr6_47344162_48423389	22	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr6_50418432_52345678	2	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr6_74752287_76705164	25	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_79981453_81219505	65	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_100599028_101555972	13	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_106042459_108139733	4	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr7_110007537_112978629	20	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr7_137191815_139059933	4	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr7_15104032_16862445	5	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr7_16161_933116	1	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr7_19441924_20085285	3	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr7_25869935_28320690	2	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr7_25869935_28320690	2	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr7_25869935_28320690	11	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_33516156_36173929	3	EGG_BW3_EUR	spredixcan_eqtl	BW	Anthropometric	#404040
region_chr7_5814895_6534226	12	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr7_91032469_92864438	1	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr8_103976524_106398526	1	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr8_115084266_118673218	4	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr8_125398675_127646866	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr8_132338897_133557758	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr8_26825008_28304875	2	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr8_40845818_41863936	25	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr8_40845818_41863936	4	EGG_BW3_EUR	spredixcan_eqtl	BW	Anthropometric	#404040
region_chr8_56043824_58156092	21	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr8_7295557_9297184	15	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr8_78220626_81044160	20	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr8_9783277_10605687	8	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr9_114257521_115159681	2	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr9_115159681_118559259	1	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_132423455_134176000	29	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_136047132_136605890	51	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr9_136047132_136605890	65	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr9_136047132_136605890	7	IBD.EUR.Ulcerative_Colitis	spredixcan_eqtl	UC	Immune	#40A0A0
region_chr9_136047132_136605890	110	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_136605890_138254346	8	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr9_20463536_22206560	1	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr9_34642246_36743286	4	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr9_4884926_6557589	1	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr9_4884926_6557589	6	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr9_76856292_78464139	10	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr10_101189482_102620653	70	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_102620653_104935290	155	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr10_114661647_117764423	11	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr10_19427949_22483354	1	BCAC_ER_negative_BreastCancer_EUR	spredixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr10_25289667_26599755	22	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr10_26599755_29034307	1	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_31618591_33419040	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr10_58530227_60131651	5	UKB_20002_1466_self_reported_gout	spredixcan_eqtl	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr10_58530227_60131651	13	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_5941799_7129522	7	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr10_61581937_64034354	2	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr10_91575290_93636611	6	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr10_96062600_98481545	71	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr11_10930480_12542682	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_117876395_119344766	7	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr11_121305234_122721202	3	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr11_121305234_122721202	8	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr11_42288453_44672249	50	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_44672249_46984586	25	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_46984586_49844498	159	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_59013076_62456299	63	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr11_59013076_62456299	132	MAGNETIC_CH2.DB.ratio	spredixcan_eqtl	CH2	Cardiometabolic	#004000
region_chr11_59013076_62456299	1	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr11_64037097_66131160	98	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr11_64037097_66131160	100	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_64037097_66131160	123	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_66131160_68238358	13	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_66131160_68238358	205	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
